ExpName,SubNodes,TotNodes,InputNode,OutputNode,SimulationTime,PredictionTime
BIOMD0000000214,37,41,MF,PFp,9.373094081878662,0.16814899444580078
BIOMD0000000336,44,44,TF_VIIa,X,37.630077838897705,0.15840911865234375
BIOMD0000000336,44,44,VIII,Xa,36.8150908946991,0.16726922988891602
BIOMD0000000336,44,44,VIII,IX,36.74296498298645,0.15913081169128418
BIOMD0000000336,44,44,TF_VIIa,Xa,36.72796177864075,0.15645194053649902
BIOMD0000000176,52,57,ADP,GAP,4.909759044647217,0.15938496589660645
BIOMD0000000176,52,57,ATP,BPG,4.917800664901733,0.15893292427062988
BIOMD0000000176,52,57,NAD,G6P,5.064936876296997,0.16439294815063477
BIOMD0000000176,52,57,AMP,GAP,4.854540824890137,0.17502093315124512
BIOMD0000000095,60,65,cTc,cYm,23.5848171710968,0.1754748821258545
BIOMD0000000095,60,65,cXm,cYc,23.513824939727783,0.19806694984436035
BIOMD0000000095,60,65,cP9n,cP9m,22.76983904838562,0.19392991065979004
BIOMD0000000095,60,65,cP9n,cXm,23.120314836502075,0.21688199043273926
BIOMD0000000315,65,65,T1,alpha_T2_beta,9.199221134185793,0.15676069259643555
BIOMD0000000315,65,65,T2,alpha_T2,8.652309894561768,0.1534571647644043
BIOMD0000000315,65,65,alpha,alpha_beta_T2,9.151240825653076,0.16213703155517578
BIOMD0000000315,65,65,T3,T3_Inh,8.664789199829102,0.16320109367370605
BIOMD0000000160,61,66,PDP,CCPT,72.80509901046753,0.18445372581481934
BIOMD0000000211,65,66,species_2,species_3,5.296720266342163,0.16236591339111328
BIOMD0000000211,65,66,species_8,species_22,5.299423933029175,0.16797709465026855
BIOMD0000000211,65,66,species_16,species_11,5.123944997787476,0.15794801712036133
BIOMD0000000211,65,66,species_16,species_17,5.218285799026489,0.1576709747314453
BIOMD0000000160,61,66,CC,PT,74.47130393981934,0.16786408424377441
BIOMD0000000160,61,66,PDP,prpc,74.59880709648132,0.16923785209655762
BIOMD0000000160,61,66,perm,prvc,72.7371985912323,0.17919516563415527
BIOMD0000000073,68,68,species_0,species_6,27.83476686477661,0.1824629306793213
BIOMD0000000073,68,68,species_3,species_10,29.43569588661194,0.16542792320251465
BIOMD0000000073,68,68,species_0,species_1,28.3272008895874,0.16678786277770996
BIOMD0000000073,68,68,species_7,species_10,30.25973105430603,0.1713252067565918
BIOMD0000000479,68,72,Gbg,z2,7.812696695327759,0.1756610870361328
BIOMD0000000479,70,72,Effector,z3,8.028724193572998,0.19086384773254395
BIOMD0000000479,65,72,R,P,8.749891996383667,0.1570267677307129
BIOMD0000000479,66,72,R,z1,7.876246929168701,0.1539781093597412
BIOMD0000000094,72,79,STAT1c,STAT1c_STAT1c_star,7.0543599128723145,0.16327619552612305
BIOMD0000000094,72,79,PPN,STAT1n_STAT1n_star,6.786459922790527,0.1537468433380127
BIOMD0000000094,72,79,PPN,STAT1c_STAT1c_star,6.8531036376953125,0.1594390869140625
BIOMD0000000094,72,79,STAT1c,STAT1n_STAT1n_star,7.937063932418823,0.1554100513458252
BIOMD0000000365,87,87,APC,VaLCA1,5.764010429382324,0.1595780849456787
BIOMD0000000365,87,87,Va,Va53,6.46881890296936,0.15793490409851074
BIOMD0000000365,87,87,Va,VaA53,5.956303119659424,0.1585698127746582
BIOMD0000000365,87,87,APC,Va5,5.847923040390015,0.1538548469543457
BIOMD0000000333,94,99,TF_l,PS_l,9.219606161117554,0.16727900505065918
BIOMD0000000333,94,99,PC_f,X_f,9.140172004699709,0.16446328163146973
BIOMD0000000333,94,99,AT_f,PS_l,10.099385976791382,0.1546010971069336
BIOMD0000000333,95,99,VII_f,alpha2M_IIa_l,8.979307174682617,0.15417170524597168
BIOMD0000000612,110,113,Source,Ocl_p_RANKL,10.55176281929016,0.16693401336669922
BIOMD0000000612,110,113,Source,OPG,10.336397886276243,0.15959501266479492
BIOMD0000000612,106,113,Tgfb_I,Ob_p,10.255619764328005,0.15693020820617676
BIOMD0000000612,106,113,Bax,Runx2,10.354590654373167,0.15438199043273926
BIOMD0000000220,120,128,pC8,Bax4_Bcl2,9.858160018920898,0.164445161819458
BIOMD0000000220,120,128,Bcl2c,C3_pC6,9.78152060508728,0.16553807258605957
BIOMD0000000220,120,128,pC9,C8_pC3,9.772071838378906,0.1610088348388672
BIOMD0000000220,120,128,pC3,pC6,9.484682083129885,0.15861296653747559
BIOMD0000000344,121,134,Akt,CHIP,11.56783890724182,0.15515398979187012
BIOMD0000000344,121,134,Akt,Hsf1_Hsf1_Hsf1,11.533993005752563,0.1650691032409668
BIOMD0000000344,121,134,Hsp70,Mkp1,11.407235145568848,0.16850781440734863
BIOMD0000000344,121,134,Hsp70,Hsp70_dam,11.49033498764038,0.15751194953918457
BIOMD0000000489,125,137,species_16,species_40,7.820500373840332,0.16862893104553223
BIOMD0000000489,125,137,species_12,species_32,8.370200872421265,0.18104815483093262
BIOMD0000000489,125,137,species_3,species_50,8.25964903831482,0.17692184448242188
BIOMD0000000489,125,137,species_17,species_21,8.446511030197144,0.1870441436767578
BIOMD0000000334,135,140,X_f,II_f,11.95265793800354,0.1695570945739746
BIOMD0000000334,135,140,TFPI_f,TFPI_Xa_l,11.792699337005615,0.2049868106842041
BIOMD0000000334,136,140,VIII_f,IIa_AT_f,11.413103818893433,0.18622589111328125
BIOMD0000000334,135,140,VIII_f,X_l,11.458033084869385,0.18221831321716309
BIOMD0000000332,139,147,XI_f,IXa_l,12.411935091018677,0.1720120906829834
BIOMD0000000332,140,147,LIPID,alpha2M_IIa_l,12.29081392288208,0.15938186645507812
BIOMD0000000332,140,147,IX_f,alpha2M_IIa_l,12.59240698814392,0.16654706001281738
BIOMD0000000332,139,147,IX_f,TF_VIIa_IX_l,12.631436347961426,0.16840672492980957
BIOMD0000000268,151,166,H2O2,m_gly,387.0232710838318,0.1593918800354004
BIOMD0000000268,151,166,GAR,m_10f,356.5531289577484,0.16412806510925293
BIOMD0000000268,151,166,m_thf,c_gly,237.6624948978424,0.15768218040466309
BIOMD0000000268,151,166,H2O2,c_coo,243.8197808265686,0.1588420867919922
BIOMD0000000653,178,178,MEK,pAPCpAxinGSK3BBCatenin,5.9861390590667725,0.15938520431518555
BIOMD0000000653,178,178,Ras,pPI3K,5.817104816436768,0.18522191047668457
BIOMD0000000653,178,178,PP2A,MEK,5.912348031997681,0.15752601623535156
BIOMD0000000653,178,178,BRaf,pAPCpAxinGSK3BBCatenin,5.641599178314209,0.17106103897094727
BIOMD0000000151,174,178,x9,x35,7.13778281211853,0.174774169921875
BIOMD0000000151,174,178,x50,x56,7.1333396434783936,0.1735219955444336
BIOMD0000000151,174,178,x66,x62,6.967987775802612,0.17247891426086426
BIOMD0000000151,174,178,x35,x46,6.867081880569458,0.1631767749786377
BIOMD0000000652,180,180,RKIP,PKCD,5.989830732345581,0.1744840145111084
BIOMD0000000652,180,180,RasGap,pRaf1,6.556396007537842,0.15742015838623047
BIOMD0000000652,180,180,BRaf,pBRaf,5.814308166503906,0.15838289260864258
BIOMD0000000652,180,180,GSK3B,pGSK3B,6.022987127304077,0.1749248504638672
BIOMD0000000488,167,181,GSK3b,Mdm2_P_Ub2,8.426777124404907,0.16315579414367676
BIOMD0000000488,167,181,p53_mRNA,Mdm2_p53_Ub4,8.126091003417969,0.16878104209899902
BIOMD0000000488,167,181,p53_mRNA,Mdm2_Ub2,8.087276220321655,0.15903997421264648
BIOMD0000000488,167,181,Mdm2_mRNA,AbetaDimer,8.246110200881958,0.17594695091247559
BIOMD0000000674,180,195,m_10f,c_2cf,359.2938480377197,0.18135976791381836
BIOMD0000000674,180,195,c_10f,sah,355.9278211593628,0.17830705642700195
BIOMD0000000674,180,195,m_thf,m_10f,352.03347873687744,0.17140412330627441
BIOMD0000000674,180,195,HCHO,c_10f,354.1584792137146,0.16410374641418457
