ExpName,SubNodes,TotNodes,InputNode,OutputNode,SimulationTime,PredictionTime
BIOMD0000000478,71,72,ATP,R,16.63875389099121,0.21445465087890625
BIOMD0000000479,68,72,Gbg,z2,5.718455076217651,0.2689027786254883
BIOMD0000000479,70,72,R,z3,5.620645999908447,0.23597002029418945
BIOMD0000000164,80,84,Carrier_Cytosol,FCarrier_RanGTP_Nucleus,3.5939409732818604,0.20787572860717773
BIOMD0000000164,80,84,NTF2_RanGDP_Nucleus,RanBP1_Cytosol,3.652778863906861,0.20729327201843262
BIOMD0000000164,80,84,NTF2_Cytosol,FRanGDP_Nucleus,3.5835442543029785,0.22062087059020996
BIOMD0000000164,80,84,NTF2_Nucleus,FRanGDP_Cytosol,3.706148862838745,0.23288297653198242
BIOMD0000000463,85,91,species_3,species_30,5.35477089881897,0.28067684173583984
BIOMD0000000463,86,91,species_4,species_35,5.488893985748291,0.22080588340759277
BIOMD0000000463,85,91,species_1,species_17,5.322398900985718,0.20641398429870605
BIOMD0000000463,85,91,species_3,species_20,4.810390949249268,0.19951319694519043
BIOMD0000000285,91,99,Proteasome,AggP3,4.85749888420105,0.19963574409484863
BIOMD0000000285,91,99,p38,AggPolyQ3,5.054803848266602,0.20128107070922852
BIOMD0000000333,94,99,V_f,APC_f,6.44576621055603,0.23864293098449707
BIOMD0000000285,91,99,mRFPu,AggP4,5.320126295089722,0.19970202445983887
BIOMD0000000285,91,99,p38,ROS,5.104779005050659,0.20235300064086914
BIOMD0000000333,94,99,V_f,Xa_Va_l,5.662229061126709,0.2001781463623047
BIOMD0000000333,94,99,LIPID,Vai_f,6.054030895233154,0.22108864784240723
BIOMD0000000333,94,99,PS_f,V_Xa_l,5.846590042114258,0.18926596641540527
BIOMD0000000424,110,113,PTEN,ERK,6.336108922958374,0.2387828826904297
BIOMD0000000424,103,113,PTENP,Akt_PI_P_PP2A,6.459510087966919,0.2349259853363037
BIOMD0000000424,103,113,HRG,Rafa,5.987183809280396,0.2090740203857422
BIOMD0000000424,103,113,PTENP_PTEN,Akt_PI_P_PP2A,6.08881688117981,0.21631884574890137
BIOMD0000000070,121,121,Glcout,Fru16P2,5.024042844772339,0.20537495613098145
BIOMD0000000070,121,121,Glcout,MgATP,4.950655937194824,0.22173309326171875
BIOMD0000000070,121,121,Lacex,P1f,4.908617973327637,0.21404743194580078
BIOMD0000000070,121,121,Gri23P2f,Lac,4.367214918136597,0.25278782844543457
BIOMD0000000220,126,128,R,Bax,6.218147039413452,0.20191097259521484
BIOMD0000000220,126,128,R,Bax_tBid,6.0847673416137695,0.19952797889709473
BIOMD0000000220,126,128,L,C6_pC8,6.089536905288696,0.22868800163269043
BIOMD0000000220,126,128,L,PARP,6.166635036468506,0.21451902389526367
BIOMD0000000344,121,134,Hsp70,Akt_Proteasome,7.313692808151245,0.19139623641967773
BIOMD0000000344,121,134,Hsp90_MisP,Jnk_P,7.76338005065918,0.19561195373535156
BIOMD0000000344,121,134,HSEHsp70,MisP_Proteasome,8.618592977523804,0.23528623580932617
BIOMD0000000344,121,134,Akt,Mkp1_P,8.507396936416626,0.23514604568481445
BIOMD0000000489,125,137,species_2,species_46,6.145481109619141,0.24277400970458984
BIOMD0000000489,125,137,species_6,species_14,6.041140794754028,0.23276376724243164
BIOMD0000000489,125,137,species_17,species_46,5.753206014633179,0.22926902770996094
BIOMD0000000489,125,137,species_25,species_9,5.967368125915527,0.2211766242980957
BIOMD0000000334,135,140,TF_l,VIII_f,7.626049757003784,0.20679998397827148
BIOMD0000000334,135,140,VIII_f,APC_f,8.617929697036743,0.22217392921447754
BIOMD0000000334,135,140,II_f,Xa_Va_mIIa_l,8.217787981033325,0.2080090045928955
BIOMD0000000334,135,140,II_f,APC_f,8.356220006942749,0.23693108558654785
BIOMD0000000268,151,166,c_gsg,c_gsh,254.36750602722168,0.2029430866241455
BIOMD0000000268,151,166,m_thf,c_gsh,246.9167447090149,0.1990187168121338
BIOMD0000000268,151,166,c_cys,c_2cf,252.01090002059937,0.22214698791503906
BIOMD0000000268,151,166,src,c_2cf,236.1838181018829,0.2393510341644287
BIOMD0000000151,174,178,x66,x52,7.146116256713867,0.2400829792022705
BIOMD0000000151,175,178,x3,x66,6.860789060592651,0.24677395820617676
BIOMD0000000151,174,178,x61,x7,6.804236888885498,0.23511624336242676
BIOMD0000000151,174,178,x61,x18,6.784924983978272,0.19286489486694336
BIOMD0000000655,179,180,pRKIP,pBRaf,5.922339677810669,0.22086405754089355
BIOMD0000000655,179,180,pAPCpAxinGSK3B,pBCatenin,6.246835231781006,0.2434549331665039
BIOMD0000000655,179,180,ERK,APCAxin,6.406029224395752,0.22725820541381836
BIOMD0000000655,179,180,APCBCatenin,pRaf1,6.180273056030273,0.2723352909088135
BIOMD0000000652,180,180,C3G,pRaf1,6.434828758239746,0.21126103401184082
BIOMD0000000652,180,180,RKIP,pERK,5.85788631439209,0.2108321189880371
BIOMD0000000652,180,180,TCF,pAPCpAxinGSK3BBCatenin,5.877443075180054,0.2338850498199463
BIOMD0000000652,180,180,Akt,APCAxin,5.693537950515747,0.2100391387939453
BIOMD0000000674,180,195,NADPH,c_glu,363.006187915802,0.2697620391845703
BIOMD0000000674,180,195,species_1,c_gly,357.3146810531616,0.2653818130493164
BIOMD0000000674,180,195,c_10f,b_gsg,359.29702067375183,0.21465396881103516
BIOMD0000000674,180,195,c_gsh,b_glu,357.6289942264557,0.2380359172821045
